"Enchanted Sword","Weapon"
"Dragonhide Armor","Armor"
"Healing Elixir","Potion"
"Mana Gem","Artifact"
"Flaming Arrows","Ammunition"
"Stardust Ring","Ring"
"Sunfire Amulet","Amulet"
"Emerald Staff","Weapon"
"Mithril Shield","Armor"
"Shadow Cloak","Outfit"
"Featherfall Boots","Armor"
"Time-Warp Talisman","Artifact"
"Phoenix Feather Quiver","Ammunition"
"Guardian Angel Pendant","Amulet"
"Elemental Gauntlets","Armor"
"Berserker Axe","Weapon"
"Nature's Touch Wand","Weapon"
"Alchemy Lab","Building"
"Elven Longbow","Weapon"
"Elixir of Invincibility","Potion"
"Oracle's Eye","Artifact"
"Thieves' Gloves","Armor"
"Aetherial Crossbow","Weapon"
"Unbreakable Chainmail","Armor"
"Goblin-Bane Dagger","Weapon"
"Moonlight Circlet","Ring"
"Fortress Blueprint","Building"
"Vampiric Sword","Weapon"
"Invisibility Cloak","Outfit"
"Scroll of Resurrection","Artifact"
"Arcane Quiver","Ammunition"
"Cursed Amulet","Amulet"
"Phoenix Down","Potion"
"Earthshaker Maul","Weapon"
"Thunderstrike Rod","Weapon"
"Eagle-Eye Helm","Armor"
"Warrior's Signet Ring","Ring"
"Revitalizing Elixir","Potion"
"Spectral Blade","Weapon"
"Crystal Ball","Artifact"
"Summoning Altar","Building"
"Water-Walking Boots","Armor"
"Charm of Eternal Life","Artifact"
"Swiftshot Arrows","Ammunition"
"Stealth Cloak","Outfit"
"Wyrmhunter Crossbow","Weapon"
