"Dragon Slayers","Questing"
"Elixir Masters","Crafting"
"Gold Brokers","Trading"
"Silver Lances","PvP"
"Emerald Enchanters","Crafting"
"Moonlit Mystics","Questing"
"Shadow Society","Spying"
"Wisdom Weavers","Knowledge"
"Storm Riders","Exploration"
"Thieves of Time","Trading"
"Heavenly Healers","Healing"
"Archmage Assembly","Mage Training"
"Dusk to Dawn","Questing"
"Sun Warriors","PvP"
"Circle of Druids","Crafting"
"Starborn Seekers","Exploration"
"Knights of Valor","Questing"
"Merchant Princes","Trading"
"The Silent Footsteps","Spying"
"Wizards of the Coast","Mage Training"
"Spirit Guardians","Healing"
"Frostbite Clan","PvP"
"Desert Nomads","Exploration"
"Guardians of Light","Questing"
"Heart of Courage","PvP"
"Abyss Watchers","Spying"
"Mercenaries of Fortune","Trading"
"Artisans of Alchemy","Crafting"
"Prophets of Doom","Mage Training"
"The Righteous","Questing"
"The Undying","Healing"
"Nature's Whisper","Crafting"
"Defenders of Destiny","Questing"
"Ocean's Children","Exploration"
"Council of Elders","Knowledge"
"The Wanderers","Exploration"
"Seekers of Truth","Knowledge"
"Elemental Lords","Mage Training"
"The Forsaken","PvP"
"Heralds of Hope","Healing"
"Crypt Crawlers","Exploration"
"Heroes of Harmony","Questing"
"Hands of Fate","Trading"
"Mind Over Matter","Knowledge"
