"Stormbringer Blade","Sword"
"Frostfire Staff","Staff"
"Dragon's Breath Bow","Bow"
"Aegis of the Sun","Shield"
"Shadowflame Dagger","Dagger"
"Heartstone Amulet","Amulet"
"Ring of the Sages","Ring"
"Potion of Eternal Vigor","Potion"
"Thunderstrike Axe","Axe"
"Mystic Lightshield","Shield"
"Staff of Tranquility","Staff"
"Plaguebringer Scythe","Scythe"
"Elixir of the Moon","Elixir"
"Tome of the Elders","Tome"
"Windfury Longsword","Sword"
"Venomtouch Whip","Whip"
"Gauntlets of the Titan","Gauntlets"
"Crown of the Lost King","Crown"
"Boots of Swiftness","Boots"
"Belt of the Wyrm","Belt"
"Emerald Heart Ring","Ring"
"Champion's Greatsword","Sword"
"Harvest Moon Scepter","Scepter"
"Robes of the Archmage","Robes"
"Rune-etched Crossbow","Crossbow"
"Crystal of the Ancients","Crystal"
"Stoneforged Mace","Mace"
"Cloak of Shadows","Cloak"
"Greaves of the Vanguard","Greaves"
"Armbands of Resilience","Armbands"
"Girdle of Strength","Girdle"
"Sacred Feather Talisman","Talisman"
"Demon's Blood Elixir","Elixir"
"Amethyst Soul Amulet","Amulet"
"Warrior's Battleaxe","Axe"
"Enchanted Waterskin","Waterskin"
"Serpent's Fang Saber","Saber"
"Helm of Insight","Helmet"
"Earthshaker Hammer","Hammer"
"Wand of Time","Wand"
"Quicksilver Bullets","Bullets"
"Cursed Bone Necklace","Necklace"
"Scroll of the Phoenix","Scroll"
"Goblin-made Flail","Flail"
"Sunfire Cape","Cape"
"Vial of Healing Winds","Vial"
"Pauldrons of the Bear","Pauldrons"
"Spectral Chainmail","Chainmail"
"Blade of the Fallen","Blade"
"Lunar Tear Bracelet","Bracelet"
"Bread of the Wise","Bread"
"Orb of Chaos","Orb"
"Essence of the Wild","Essence"
"Titanium Gauntlet","Gauntlet"
"Boots of the Pathfinder","Boots"
"Ring of the Eternal Flame","Ring"
"Quiver of the Wind","Quiver"
"Lockpick of Fates","Lockpick"
"Amulet of the Stars","Amulet"
"Potion of Mana Regeneration","Potion"
"Guardian's Shield","Shield"
"Thunderstrike Javelins","Javelins"
"Dagger of Betrayal","Dagger"
"Chronomancer's Sandglass","Sandglass"
"Emerald Saber of Souls","Saber"
"Armor of the Sea Spirit","Armor"
"Flask of Infinite Courage","Flask"
"Boots of the Shadow Dancer","Boots"
"Staff of Eldritch Power","Staff"
"Scepter of the Forsaken","Scepter"
"Axe of the Moon Chieftain","Axe"
"Ring of the Moon","Ring"
"Veil of the Tempest","Veil"
"Blade of Eternal Night","Blade"
"Amulet of the Moon","Amulet"
"Helm of the Silver Knight","Helmet"
"Golden Chalice of Eternity","Chalice"
"Blood-soaked Bracers","Bracers"
"Bracelet of Divine Fates","Bracelet"
"Ring of Arcane Mastery","Ring"
"Wyrm's Breath Wand","Wand"
"Robe of the Sage","Robe"
"Staff of the Archmage","Staff"
"Blade of the Archmage","Blade"
"Crossbow of Fiery Vengeance","Crossbow"
"Scroll of Forgotten Knowledge","Scroll"
"Chains of the Abyss","Chains"
"Grimoire of Lost Souls","Grimoire"
"Rod of Wondrous Echoes","Rod"
"Potion of Dire Strength","Potion"
"Gloves of the Sun God","Gloves"
"Tome of Elemental Secrets","Tome"
"Dragonbone Greataxe","Greataxe"
"Orb of the Soul Reaver","Orb"
"Warhammer of the Earthshaker","Warhammer"
"Bow of the Eternal Forest","Bow"
"Amulet of the Wind Whisperer","Amulet"
"Dagger of the Trickster","Dagger"
"Boots of Celestial Steps","Boots"
"Cloak of Elvenkind","Cloak"
"Greatsword of Heavenly Wrath","Greatsword"
"Shield of the Dwarven Lords","Shield"
"Runic Vestments","Vestments"
"Maul of the Frost Giant","Maul"
"Sword of the Paladin","Sword"
"Necklace of the Mermaid","Necklace"
"Ring of the Fallen King","Ring"
"Gauntlets of the Berserker","Gauntlets"
"Bracers of the Hunter","Bracers"
"Amulet of the Fallen","Amulet"
"Ring of the Fallen","Ring"
"Amulet of the Fallen King","Amulet"
"Ring of the Fallen King","Ring"
"Amulet of the Fallen Queen","Amulet"
"Ring of the Fallen Queen","Ring"
